timestamp,predicted_class,confidence,mode
2026-03-05T01:51:09.297,M,20.26,normal
2026-03-05T01:51:11.191,M,15.26,normal
2026-03-05T01:51:13.158,P,12.26,normal
2026-03-05T01:51:15.277,M,11.94,normal
2026-03-05T01:51:17.216,X,9.73,normal
2026-03-05T01:51:19.064,P,8.72,normal
2026-03-05T01:51:21.035,X,11.10,normal
2026-03-05T01:51:23.087,Z,9.85,normal
2026-03-05T01:51:24.943,X,12.56,normal
2026-03-05T01:51:26.843,X,19.75,normal
2026-03-05T01:51:28.763,X,19.83,normal
2026-03-05T01:51:30.750,W,12.88,normal
2026-03-05T01:51:32.843,X,11.71,normal
2026-03-05T01:51:34.718,X,12.15,normal
2026-03-05T01:51:36.684,Q,9.00,normal
2026-03-05T01:51:38.732,W,14.16,normal
2026-03-05T01:51:40.629,X,11.34,normal
2026-03-05T01:51:42.654,X,14.81,normal
2026-03-05T01:51:49.172,X,10.35,gradcam
2026-03-05T01:51:55.713,W,11.01,gradcam
2026-03-05T01:52:02.200,P,17.73,gradcam
2026-03-05T01:52:08.986,P,13.35,gradcam
